"Data Source","World Development Indicators",

"Last Updated Date","2021-11-23",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Barbados","BRB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2498088877.41874","2481850529.69146","2393910179.43526","2470089332.89981","2573564953.94004","2680448458.92482","2838065611.54157","3025747724.56527","3173886818.17816","3230486447.30124","3449580616.56608","3441856192.52922","3523828107.5899","3667352806.06023","3819247737.69655","4093989531.57469","4466850967.78133","4687849280.29696","4812536630.10609","4602990809.13498","4550155553.50911","4613928269.19212","4343448700.80602","4359599661.30851","4322360546.09697","4425610429.8278","4559037885.70882","4519281462.81962","4600931965.93093","4678563482.67459","3901579144.33833",
"Brunei Darussalam","BRN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14456814065.0958","15415892287.6316","16517501924.4194","16960523110.4211","17867569963.7186","19059251493.3829","19966850512.137","20024891666.3744","20137176323.1266","21051409730.2095","22135261424.2843","23241505278.1541","24523299248.7259","25704091177.389","26529220186.5056","27461594984.134","29536870000.7498","30377197856.8618","30367382091.4862","30058959574.4164","31199547021.6826","33044207206.1251","35209872643.723","33885246844.1847","33344140243.0964","25948980972.9153","23633069098.5308","25891019749.5614","26526507870.9433","28044707669.6547","28725875098.7628",
"Bhutan","BTN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","827268923.552295","851756848.777178","911249100.113065","951378595.264116","1019808051.0988","1114847585.94547","1198439273.28363","1285423168.08347","1376766814.77139","1508152338.48854","1593597378.5948","1764518791.51334","1989458177.16496","2184936045.71166","2378580863.14402","2631404630.98","2900801762.11939","3525644809.26293","3766726573.09193","4051571320.42925","4588418545.30904","5058193225.03562","5551018263.98396","5674556893.9944","6231640988.1671","6915381146.16075","7703914681.55542","8307416844.22731","8766772471.38418","9410886891.74562","8879845371.74127",
"Botswana","BWA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7306779594.38446","8117299203.7526","8544468669.16167","8914603515.95358","9435288668.23021","10310386378.3005","11111246641.5047","12251586973.4691","12444448686.7096","13844526348.0916","14435356004.1532","14788949380.0238","15934693576.5852","16981427226.9309","17910460787.8025","19309899099.436","21558186097.756","23969551061.1671","25961912381.4469","24158001446.5186","26532411467.5074","28724946390.7421","27718549539.3178","30335164691.645","34046222231.4244","32971120138.136","37281291597.4263","38045692207.0873","40704079284.3986","42684364764.206","39791486411.8847",
"Central African Republic","CAF","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1782370844.527","1832464962.82366","1753823503.86582","1801414600.04777","1930035742.97084","2112384054.89276","2065016683.32829","2213344226.10028","2343457079.34914","2462873910.50581","2455248639.60648","2621127572.36473","2758881202.53287","2658440643.58652","2893672534.09782","3010908030.21931","3250024496.71239","3491097826.2955","3632110885.70067","3974076863.97219","4206561537.35153","4474567487.04114","4889047036.92662","3284695704.66429","3215650000.89682","3536183568.04248","3861897992.35142","4195263790.82987","4458785448.52118","4674532971.27166","4731155069.31929",
"Canada","CAN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","755132917115.608","793403843947.605","846412945809.995","901023409796.483","937268402696.171","971003788233.131","1023161640591.75","1083140946889.99","1171326187910.13","1241168772361.08","1300941860599.35","1342395839240.43","1307952843797.37","1364078564170.92","1430806739876.64","1468097961846.59","1554125000000","1621395561291.92","1594851775821.65","1678092366067.54","1765762548007.76","1862154210814.04","1904502554626.31","1827709602976.19",
"Central Europe and the Baltics","CEB","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","784820659545.63","733647442146.186","735815259878.194","764856464020.761","812987920152.345","876126409350.237","918540366219.507","952018669601.486","993402599704.673","1024442548052.76","1086142700473.95","1162591847002.92","1243426862786.35","1313835330291.01","1431573652905.93","1516639040913.76","1680702445578.28","1868001973646.66","2064404229305.34","2064547848598.83","2171940337454.31","2310433222059.89","2386386316832.47","2484128381801.79","2584041778913.7","2697017779249.37","2868872729829.63","3069707511051.22","3271367395126.81","3494754927677.21","3450739176952.29",
"Switzerland","CHE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190833716454.517","195480481294.257","199847875646.407","204325091404.06","211338007280.641","216807014492.423","222517397785.203","232229967565.528","241055729092.289","248740021832.269","264299176951.741","274106112999.532","282753110962.942","284759587843.575","297823953215.462","310493723866.738","347559432950.507","386208985823.934","413714805073.377","413468717749.731","429589963848.447","458820195091.514","479280657897.069","503360260789.332","524917052399.004","546805476343.839","570267482220.765","584052319305.968","610234859334.17","627228206512.645","619788720021.624",
"Channel Islands","CHI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","59884081815.8211","66835784908.9752","77143487279.5689","85334370561.9126","93055581461.6072","105725664939.662","116867752281.941","127713472086.193","134736166650.505","136118236224.561","146574191533.23","154736780240.43","162067995583.661","171831210284.975","189179004768.143","206274402670.143","257648250741.941","280051852457.153","275716447509.986","272874099668.727","309886433252.476","350575241993.673","374241571983.029","394291936706.766","404667282590.142","407878247566.655","426776809813.223","451984540685.81","463368859361.469","492274023113.372","479199231790.661",
